major axis of ellipse (mm),minor axis of ellipse (mm),10-log of sum of content of all pixels (#phot),ratio of sum of two highest pixels over fSize,ratio of highest pixel over fSize,"distance from highest pixel to center, projected onto major axis",3rd root of third moment along major axis (mm),3rd root of third moment along minor axis (mm),angle of major axis with vector to origin (deg),distance from origin to center of ellipse (mm),"gamma (signal), hadron (background)"
56.4901,22.3784,3.2172,0.2092,0.118,47.8174,40.8954,15.0326,1.2155,257.514,g
47.1025,17.8097,2.9151,0.2809,0.1745,-22.2615,-20.6708,8.6163,10.4927,223.697,g
25.8556,14.4318,2.2648,0.6141,0.3777,23.6753,16.5538,-11.0279,12.2095,133.171,g
103.6643,41.6434,3.0797,0.2273,0.1156,183.1032,-110.625,-9.7826,72.3333,208.6128,h
76.9829,20.2038,3.0888,0.2681,0.1504,95.948,56.8328,-19.81,5.806,276.059,g
26.3485,12.543,2.3261,0.6658,0.4151,-17.7116,-32.098,8.6822,81.0902,108.6077,h
41.0084,12.212,2.6656,0.3866,0.2171,-11.0705,-29.2432,6.7442,11.2425,165.258,g
42.9795,15.9668,2.6253,0.2607,0.1363,9.7417,29.9491,6.8072,10.603,185.708,g
57.4673,21.3318,3.2991,0.2069,0.1077,35.3189,42.7747,9.0658,4.5769,261.859,g
22.0396,16.2619,2.5575,0.5097,0.3144,8.6338,18.1957,14.5208,31.06,230.924,g
18.1853,12.8991,2.4836,0.5616,0.2906,-2.9115,11.1418,7.4341,54.9825,168.84,g
23.498,9.161,2.3674,0.6609,0.4399,20.9879,20.8443,11.37,22.447,172.895,g
127.824,90.0777,4.6163,0.0327,0.0166,131.424,98.3053,61.1582,0.462,191.153,g
69.0975,27.2206,3.5674,0.1725,0.0946,49.8977,67.3895,-19.3862,1.7409,276.499,g
144.116,54.137,4.0889,0.0489,0.0246,66.7194,127.59,-43.2116,14.1751,139.724,h
151.776,59.303,3.3893,0.1175,0.0594,174.771,146.056,53.6036,15.6891,211.673,h
44.4845,13.9986,2.7619,0.3183,0.1964,18.3608,26.1503,-2.1074,78.462,203.951,h
31.5555,15.492,2.4691,0.3939,0.2088,36.7637,24.2738,-9.5021,37.3817,106.28,g
19.7366,7.3095,2.1383,0.7636,0.4109,-3.5091,10.3719,-4.8598,24.7838,173.073,g
78.1114,25.8038,3.2918,0.2763,0.156,-19.7842,49.6372,16.7028,8.8309,316.558,g
36.473,19.674,2.8139,0.3208,0.1665,-13.6421,-26.9115,3.117,5.3586,225.478,g
79.3368,17.6035,3.2275,0.1978,0.1033,85.3556,34.2215,12.6844,45.6726,180.768,h
103.5398,17.4695,3.2785,0.3645,0.2279,-51.2048,-32.4126,14.5598,30.3805,292.6638,h
39.2142,19.6044,3.0575,0.2348,0.1301,44.975,-6.7978,-15.6332,2.53,153.226,g
51.624,21.1502,2.9085,0.242,0.134,50.8761,43.1887,9.8145,3.613,238.098,g
